lot_id,origin,process,varietal,sca_score,profile,Profile_SCA_Valid,standard_flavour
ATT230134,Honduras,Natural,Typica,87.25,"Complex, Sweet, Tropical Gummy Bears, Peach, Pina Colada",peach,Fruity
ATT230137,Honduras,Natural,Catuai,86.25,"Bright, Fruity, Jammy, Raspberry, Cherry, Bonbon, Wine Grape","cherry, raspberry",Fruity
ATT230142,Honduras,Natural,Catuai,86.5,"Long, Cinnamon, Grape, Stone Fruit, Caramel, Honey","caramel, cinnamon, grape, honey","Fruity, Spices, Sweet"
ATT230312 ,Honduras,Natural,Typica,86.75,"Smooth, Long, Nectarine, Red Apple, Summer Fruits, Buttery mouthfeel",,
ATT230313 ,Honduras,Natural,Typica,86.25,"Juicy, Fruity, Pleasant Acidity, Orange, Lemon, Mint, Cinnamon","cinnamon, lemon, orange","Fruity, Spices"
ATT230437,Colombia,Washed,Pink Bourbon,86.75,"Tealike, Earl Grey, Mango, Sweet Orange, Good Body",,
ATT230333,Colombia,"Yeast-inoculated, dry fermented washed",Pink Bourbon,87.5,"Complex, Soft Mouthfeel, Juicy, Peach,
Strawberry, Orange Peel, Cinnamon, Milk
Chocolate","cinnamon, peach, strawberry","Fruity, Spices"
ATT230176,Mexico,Anaerobic Natural,Pache,86.5,"Complex, Fruity, Bright Acidity, Lemon, Caramel","caramel, lemon","Fruity, Sweet"
ATT230178,Mexico,Washed,Pache,85.5,"Balanced, Smooth, Melon, Grape, Caramel, Milk Chocolate","caramel, grape, milk chocolate","Fruity, Nutty/Cocoa, Sweet"
ATT230201,El Salvador,Anaerobic Natural,Bourbon,87.25,"Fruity, Long, , Full, Strawberry, Nutella, Cherry, Marzipan","cherry, strawberry",Fruity
ATT230203,El Salvador,Anaerobic Natural,Bourbon / Pacas,87.0,"Juicy, Vibrant Acidity, Tropical Fruity, Pineapple, Milk Chocolate","milk chocolate, pineapple","Fruity, Nutty/Cocoa"
ATT230204,El Salvador,Anaerobic Natural,Castillo / Bourbon,87.75,"Juicy, Complex, Orange, Tangerine, Lemon, Lavender","lemon, orange",Fruity
ATT230553,Brazil,Natural,Blend,83.75,"Walnut, Milk Chocolate, Good Sweetness, Mellow Acidity",milk chocolate,Nutty/Cocoa
ATT240106,Colombia,Fully washed,Typica,87.75,"caramel, red berries, raw cocoa, tea like body, smooth fruity aftertaste, complex",caramel,Sweet
ATT240110,Colombia,Washed,Caturra,82.25,"Citric, cacao, mellow, full body, clean, orange & balanced",cacao,Nutty/Cocoa
ATT240120,Colombia,Anaerobic Natural,Pink Bourbon,87.0,"sweet, peach, caramel, cherry, coating body, sweet finish","caramel, cherry, peach","Fruity, Sweet"
ATT240152,Colombia,Washed,Caturra,86.25,"Citric acidity, Round body, Long aftertaste, Orange, Yellow",orange,Fruity
ATT240153,Colombia,Washed,Caturra,87.0,"Fruity, tangerine, peach, berry, bright acidity, blackcurrant like aftertaste",peach,Fruity
ATT240210,Colombia,Washed,Colombia - Castillo,84.75,"Almond, milk chocolate, vanilla, mandarin, balanced","almond, mandarin, milk chocolate, vanilla","Fruity, Nutty/Cocoa, Sweet"
ATT240211,Colombia,Decaf sugarcane,Colombia - Castillo,83.5,"Orange, caramel, cacao, milk chocolate, round body, balanced aftertaste","cacao, caramel, milk chocolate, orange","Fruity, Nutty/Cocoa, Sweet"
ATT230206,India,Natural,CxR,,"Cacao nibs, spice, nutty",,
ATT230209,India,Natural,CxR,,"Chocolate, Hazelnut, Spice","chocolate, hazelnut",Nutty/Cocoa
ATT240165,India,Monsooned,S-795,,"Spice, Cedar, Tobacco",tobacco,Roasted
ATT240215,India,Aerobic Washed,S-795,85.75,"Dark chocolate, caramel, apricot, rounded body,
good aftertaste","caramel, dark chocolate","Nutty/Cocoa, Sweet"
ATT240216,India,Aerobic Washed,Catimor,85.75,"Kinder bueno, milk, banana, full rounded body,
great and full aftertaste",,
ATT230301,India,Washed,S-795,,TBD,,
ATT240138,Ethiopia,Natural,Heirloom,86.0,"Stone fruits, sweet orange, tea like body, long aftertaste",,
ATT240207,Ethiopia,Natural,Heirloom,84.5,"Vanilla, floral, minty, guava, balanced acidity, good body, unique aftertaste",vanilla,Sweet
ATT240170,Kenya,Washed,"SL 28, Ruiru 11, Batian",87.0,"Plum, raspberry, blackberry, bright acidity good quality, full body, super juicy, great balance","blackberry, raspberry",Fruity
ATT240174,Kenya,Washed,"SL 28, Ruiru 11, Batian",88.0,"lemon, black currant, britght acidity, almond, velvety body, long aftertaste ","almond, lemon","Fruity, Nutty/Cocoa"
ATT240175,Kenya,Washed,"SL 28, Ruiru 11, Batian",87.75,"spice aroma, peach, milk chocolate, orange, lavender, round body, juicy and long aftertaste","milk chocolate, orange, peach","Fruity, Nutty/Cocoa"
ATT240178,Kenya,Washed,"SL 28, Ruiru 11, Batian",87.5,"floral aroma, citrus fruits, caramel, rounded body, ",caramel,Sweet
ATT240179,Kenya,Washed,"SL 28, Ruiru 11, Batian",88.0,"apricot, strawberry, chocolate, high quality acidity, tea like body, juicy","chocolate, strawberry","Fruity, Nutty/Cocoa"
ATT240181,Kenya,Washed,"SL 28, Ruiru 11, Batian",88.5,"nutty, vanilla, mint, blueberry, banana, bright acidity, juicy body, clean aftertaste ","blueberry, vanilla","Fruity, Sweet"
ATT240188,Kenya,Washed,"SL 28, Ruiru 11, Batian",87.5,"chocolate and citrus aroma, black tea, caramel, red orange, clean aftertaste ","black tea, caramel","Floral, Sweet"
DISCOUNTED COFFEE OFFERS,,,,,,,
,,,,,,,
Lot ID,Origin,Process,Varietal,,Profile,,
ATT220338,Rwanda,Fully Washed,Red Bourbon,85.5,"Soft, Creamy, Red Berry, Red Currant, Stroop, Good Body",,
ATT220334,Rwanda,Fully Washed,Red Bourbon,85.75,"Orange Blossom, Wild Strawberry, Pastry",,
ATT210139,India,Red Honey,Catimor,83.75,"Sweet Lime, Green Apple",,
ATT220163,India,Anaerobic Natural,"Sarchimor / 
Catimor",86.25,"Sweet, Syrupy, Long, Cranberry Compote, Bing Cherry",,
ATT220190,India,Anaerobic Natural,Catimor,85.75,"Juicy, Sweet, Mango, Cranberry, 
Apricot, Almond",almond,Nutty/Cocoa
